question,context,answers,answer_sentence,topic,reference,id
"in orthodontics, how is anchorage defined?","anchorage is defined as the resistance to unwanted orthodontic tooth movement. it is one of the most important aspects in producing esthetic, functional, and stable occlusal results. therefore, anchorage control and selecting appropriate mechanics should be determined at the treatment planning stage. several intra- and extraoral adjuncts enhance anchorage control including the transpalatal, nance, and lingual arches; headgear; or temporary anchorage devices (tads). anchorage loss is an unfortunate consequence of leveling and aligning, overjet reduction or space closure and is usually greater in the maxillary than mandibular arch. this complicates treatment, and when anchorage preparation is not adequately planned, molar distalization may be required during treatment. certain initial patient characteristics and treatment-related factors have been reported to influence loss of anchorage. these include growth, age, sex, malocclusion type, pretreatment upper molar angulation, crowding, and overjet. treatment-related factors, such as extractions versus non-extraction, site of extraction, high frictional resistance appliances, type of tooth movement (bodily movement or torque), the use of intraoral or extra-oral anchorage devices and the use of heavy and uncontrolled forces can also play a role in increasing anchorage loss. anchorage loss has been investigated with different orthodontic fixed appliance systems. in their retrospective study, geron et al. found that anchorage loss was significantly greater with labial edgewise appliances compared with lingual edgewise appliances. although various studies have concluded that no significant differences exist between conventional and self-ligating bracket systems for anchorage loss, rajesh et al. found that anchorage loss was significantly greater with roth than mbt appliances. no study to date has investigated the difference in anchorage loss between 0.018-inch and 0.022-inch bracket slot systems, which may vary due to the differences in play (friction between the bracket slot and archwire) and critical contact angle (angle of contact between archwire and bracket slot wall). therefore, this study aimed to determine if slot size had an effect on anchorage loss of the maxillary first molar. the null hypothesis was that there is no statistically significant difference between the 0.018-inch and 0.022-inch slot bracket systems in terms of maxillary first molar anchorage loss on completion of orthodontic treatment.","{'answer_start': [24], 'text': ['the resistance to unwanted orthodontic tooth movement']}",,biomechanics,"{'authors': ['Yassir A. Yassir', 'Grant T. McIntyre', 'Ahmed M. El-Angbawi', 'David R. Bearn'], 'doi': 'https://doi.org/10.2319/081918-608.1', 'meta': 'Angle Orthod (2019) 89 (4): 605–610.', 'title': 'Does anchorage loss differ with 0.018-inch and 0.022-inch slot bracket systems?'}",72e44b02-89c1-4718-9032-c470fc0e5f1d
what are the possible etiologies of buccal crossbites?,"dental crossbites may involve only a few teeth but may also involve segments of teeth or the entire dentition. a dental crossbite often exhibits aberrant buccal-lingual inclinations of one or more teeth. with skeletal crossbites, the transverse dimension of the maxillary basal bone is smaller than the mandibular basal bone. such transverse deficiencies can be corrected with rapid maxillary expansion (in adolescents), surgically assisted rme (called transverse maxillary do more recently), or a segmental lefort i osteotomy. if mandibular symphyseal distraction is being considered, the anticipated maxillary transverse expansion must be predicted before determining the appropriate amount of increase in the mandibular arch width. in some patients, the appropriate amount of buccal overjet is present, but both the maxillary and mandibular arches are narrow and need to be expanded (figure 1a). patients will often comment i don't like these dark spaces between my teeth and cheeks, or i want a full, broad smile or i want a hollywood smile. treatment decisions should not be predicated strictly on esthetics but should also address function, stability, and balance. but if a full, broad, functional, and stable smile can be obtained, each clinician should strive to achieve the patient's stated goals. with maxillary transverse expansion previously limited by the mandibular arch width, patients were not always able to obtain their desired results. now with the ability to expand both arches using do, a full, functional, and stable occlusion can be achieved. occasionally, patients will present to the office with a complete buccal crossbite where the maxillary dentition telescopes over the mandibular dentition (figure 1b). the possible etiologies could be related to a habit, an excessively large maxilla, or a skeletal mandibular transverse deficiency associated with hypoglossia hypodactylia syndrome. previously, the only method of correction was a vertical symphyseal osteotomy, rotating the two hemi-mandibles laterally, placing a bone graft, and fixating. do has the benefit of tremendous adjustability and does not require a bone graft. in addition, the regenerate bone, once calcified, has the same properties as the innate mandibular bone. as a result, there are no questions regarding the success and viability of a graft material.","{'answer_start': [1777], 'text': ['a habit, an excessively large maxilla, or a skeletal mandibular transverse deficiency associated with hypoglossia hypodactylia syndrome']}",,clinical,"{'authors': ['Richard Conley, DMD', 'Harry Legan, DDS'], 'doi': 'https://doi.org/10.1043/0003-3219(2003)073<0003:MSDODA>2.0.CO;2', 'meta': 'Angle Orthod (2003) 73 (1): 3–11.', 'title': 'Mandibular Symphyseal Distraction Osteogenesis: Diagnosis and Treatment Planning Considerations'}",24de3b96-2bcf-46cb-8b88-5e49b66e29fa
"in orthodontics, how is interproximal enamel reduction (ipr) performed?","the grinding of interproximal tooth surfaces was first described by ballard in 1944 as a method to correct a lack of harmony in tooth size. interdental stripping, also known as interproximal enamel reduction (ipr), is a common clinical procedure in orthodontics used to gain space, correct bolton tooth-size discrepancies, rectify morphologic anomalies, and reduce interdental gingival papillary retraction. currently, ipr is performed by using handheld or motor-driven abrasive strips, handpiece-mounted, diamond-coated disks, and tungsten-carbide or diamond burs. many studies have investigated the effects of various interdental stripping methods on the enamel surface. it has been reported that ipr creates enamel furrows and scratches that might promote greater plaque retention and increase risk of caries. for this reason, several treatment protocols have been proposed to achieve a smooth surface. nowadays, various mechanical or automatic rotating devices can produce enamel surfaces that are even smoother than natural enamel in a reasonable time and with a good acceptance by the patient. danesh et al. reported that after polishing, surfaces that had been treated with an automatic oscillating system presented with better results in terms of smoothness. recently, various methods have been gradually improved with the primary goal of obtaining precise ipr in terms of optimal amount of enamel grinding. many authors recommend a reduction of no more than half the enamel coating's original thickness to avoid immoderate degradation. it has been claimed that 0.3 0.4 mm of enamel can be safely removed, making ipr a minimally invasive procedure. several investigators have reported that mechanical stripping can reduce chairside time, achieving more and better interproximal reduction than manual techniques. johner et al. demonstrated that, when testing three different mechanical stripping methods, the average amount of stripping was generally smaller than the intended amount of enamel reduction. although many studies have analyzed enamel surfaces after stripping, no data exist on the quantitative and qualitative evaluation of abrasive strips before and after use. in fact, the amount of enamel reduction depends on several factors, such as exerted pressure and enamel hardness, but mostly on particle size of the abrasive and the time used to apply it. therefore, the aim of the present study was to test in vitro and in vivo the wear performance of flexible, oscillating diamond-coated strips compared with unused strips by means of the tribological test and scanning electronic microscope (sem).","{'answer_start': [439], 'text': ['using handheld or motor-driven abrasive strips, handpiece-mounted, diamond-coated disks, and tungsten-carbide or diamond burs']}",,clinical,"{'authors': ['Roberta Lione', 'Francesca Gazzani', 'Chiara Pavoni', 'Stefano Guarino', 'Vincenzo Tagliaferri', 'Paola Cozza'], 'doi': 'https://doi.org/10.2319/071516-552.1', 'meta': 'Angle Orthod (2017) 87 (3): 455–459.', 'title': 'In vitro and in vivo evaluation of diamond-coated strips'}",52cf2453-4c31-4f58-b9e0-c3b61614a63e
"in patients with unilateral functional crossbite (fupxb), which problems have been associated with this malocclusion?","posterior crossbite is a common malocclusion with a prevalence of 7.7%1 to 17%.2 some studies have shown that functional unilateral posterior crossbite (fupxb) has been associated statistically with asymmetrical function of the masticatory muscles, signs and symptoms of temporomandibular disorders (tmd), such as pain, headache, and muscle tenderness, which may relate to activity of masticatory muscle performance. previous investigators have demonstrated that there is an individual chewing pattern for mandibular movements in adults. throckmorton et al described chewing as an event determined at two levels, an individual central chewing pattern generator and peripheral events inducing chewing adaptations. the individual central chewing pattern starts to be established with tooth eruption and is well established in a child with a complete deciduous dentition. the central pattern generator appears to establish the chewing cycle shape by controlling the sequence of muscle contractions in the opening and closing movements of mandible. once the central chewing cycle pattern has been established, it appears to be relatively resistant to change. occlusal interferences occurring during bone development may lead to mandibular displacement and can induce a compensatory asymmetric mandibular growth. in early life, there is a much greater potential for adaptive changes to determine the central pattern of chewing. corrections made in adults do not show consistent changes in the overall mastication cycle shape impairing the total effectiveness of an occlusal correction. therefore, several studies suggest that fupxb should be corrected as early as possible to promote bilateral condylar symmetry and enhance normal growth and development.","{'answer_start': [199], 'text': ['asymmetrical function of the masticatory muscles, signs and symptoms of temporomandibular disorders (tmd), such as pain, headache, and muscle tenderness']}",,pathology,"{'authors': ['Marco Antonio Canada Salioni', 'Silmara Elena Papa Pellizoni', 'Antonio Sérgio Guimarães', 'Yara Juliano', 'Luís Garcia Alonso'], 'doi': 'https://doi.org/10.1043/0003-3219(2005)75[362:FUPCEO]2.0.CO;2', 'meta': 'Angle Orthod (2005) 75 (3): 362–367.', 'title': 'Functional Unilateral Posterior Crossbite Effects on Mastication Movements Using Axiography'}",54792103-0c69-4a22-9462-59712b05ca60
"during orthodontic treatment, what causes failure of ceramic bracket wings?","ceramic brackets, which are primarily of monocrystalline or polycrystalline sapphire, are esthetically more pleasing than their metal, coated metal and plastic predecessors. they also appear to have some superior bonding characteristics. however, there are some indications of reduced fracture toughness which may lead to uncontrolled bracket wing failure during function. while ceramic bracket bonding has been addressed to some extent, the relationship between bracket bonding behavior and different bonding systems still requires clarification. brackets are fabricated of stainless steel, plastic, and in recent years, ceramic. a wide variety of bracket types is available for clinical use. ongoing research and development continues to improve their properties. the shortcomings of plastic brackets in their present forms include moisture absorption, which progressively weakens the bond strength, discoloration and excessive distortion. while stainless steel attachments have none of the disadvantages of plastic attachments, they are less acceptable esthetically. ceramic brackets made of monocrystalline sapphire are more esthetically pleasing than either plastic or metal brackets. the material is more transparent than plastic and the color is more stable. ceramic brackets are also quite strong; they are more difficult to deform than plastic brackets and have a higher tensile strength than stainless steel. the bonding strength of ceramic brackets has been shown to be significantly higher than that of metal brackets. in fact, orthodontists sometimes experience problems during debonding when the bond is too strong to break. this high bond strength results from silanization of the bracket base, mechanical retention, or both. since these factors may act in combination to produce excessive bond strength, some consideration is being given to fabricating ceramic brackets that are retained only by micromechanical means. fractures occasionally occur at the bracket wings during orthodontic treatment and debonding; removal of these brackets may require use of a high-speed diamond bur a time-consuming procedure. bond failure may also occur at the resin-enamel interface, jeopardizing the integrity of the enamel surface of the bonded tooth. bond strength has been measured in a number of studies using a wide range of etching agents, and adhesives with metal and plastic brackets. todate, investigations regarding the shear bond strength of ceramic brackets have been limited, with the majority of the data reporting chemically-cured adhesive systems. the purpose of this investigation was to determine the shear and tensile bond strength of various ceramic and ceramic-filled brackets in combination with a variety of commonly used bonding systems.","{'answer_start': [277], 'text': ['reduced fracture toughness']}",,materials,"{'authors': ['Spiro J. Chaconas, DDS, MS', 'Angelo A. Caputo, PhD', 'Gary Shi-Lin Niu, DMD, MS'], 'doi': 'https://doi.org/10.1043/0003-3219(1991)061<0035:BSOCBW>2.0.CO;2', 'meta': 'Angle Orthod (1991) 61 (1): 35–42.', 'title': 'Bond strength of ceramic brackets with various bonding systems'}",8fe527f2-d2c1-47c8-878b-9d1a5c46c3a1
"regarding the analysis of mixed dentition, what are the methods for predicting the size of the unerupted permanent teeth?","mixed dentition analysis is an important aspect of orthodontic diagnosis and treatment planning. it is a valuable tool in determining whether the treatment plan may involve serial extraction, guidance of eruption, space maintenance, space regaining, or just periodic observation of the patient. three basic approaches for prediction of the size of the unerupted permanent teeth during the mixed dentition have been used. measurement of the size of the unerupted teeth on radiographs, as recommended by staley et al and de paula et al; estimation from proportionality tables, as reported by moyers and tanaka and johnston; and a combination of the radiographic and prediction table method, as recommended by hixon and oldfather and bishara et al. mixed dentition analysis using moyers tables and tanaka and johnston have several advantages. no radiographs are required, tables can be used for both the maxillary and mandibular arch estimations, and there is a fairly good accuracy despite a tendency to overestimate the size of unerupted teeth. the development of these two methods, however, was based on data derived from a population of northern european descent. therefore, the accuracy of these prediction methods may be in question when applied to a population of different ethnic origin. a review of the literature revealed that mixed dentition analyses were varied between different racial and population groups: ferguson et al and frankel and benz for black americans; schirmer and wiltshire for black africans; lee-chan et al for asian-americans; bishara et al for population samples from egypt, mexico, and the usa; flores-mir et al for peruvians; al-khadra for saudi arabians; nourallah et al for syrians; yuen et al for hong kong chinese; jaroontham and godfrey for thai population; legovic et al for croatians; otuyemi and noar for nigerian; and diagne et al for senegalese population. populations of different racial origins generally had average values that were significantly different from those reported for whites, but in most cases the clinical significance was questionable. several recent studies investigating mixed dentition analyses in different populations derived their samples from subjects attending orthodontic clinics; this may have introduced a source of bias because they may not be representative of the total population. in addition, there was a wide variation in the sample sizes within these studies ranging from 34 to 600 subjects. there have also been questions about applying these methods, which are based on pooled male and female data, rather than considering the sexes separately. in addition, there is some evidence of secular trends of changing dimension of teeth, which may require progressive modification of mixed dentition analysis for different populations. there are few published data on mixed dentition analysis for arabic populations. the purposes of this study were to: (1) examine the applicability of the tanaka and johnston method of prediction in a jordanian population; and (2) develop a new prediction method for this specific population if it proved to be necessary.","{'answer_start': [421], 'text': ['measurement of the size of the unerupted teeth on radiographs, as recommended by staley et al and de paula et al; estimation from proportionality tables, as reported by moyers and tanaka and johnston; and a combination of the radiographic and prediction table method, as recommended by hixon and oldfather and bishara et al']}",,growth,"{'authors': ['Zaid Bakri Al-Bitar', 'Iyad Khaled Al-Omari', 'Hawazen Nezar Sonbol', 'Hazem Tayseer Al-Ahmad', 'Ahmad Mohammad Hamdan'], 'doi': 'https://doi.org/10.2319/0003-3219(2008)078[0670:MDAIAJ]2.0.CO;2', 'meta': 'Angle Orthod (2008) 78 (4): 670–675.', 'title': 'Mixed Dentition Analysis in a Jordanian Population'}",f932203f-87da-4c54-9b8b-bc0e30d87ed0
"in mixed dentition, in which direction do permanent incisors drift?","eruption. since early loss can accelerate or delay eruption of the succedaneous tooth, this can affect eruption, sequence and timing. it will alter position of the permanent tooth but only in a special circumstance: following very early loss of a second primary molar, the permanent first molar may erupt mesially. otherwise, space loss associated with drift is primarily a posteruption phenomenon. drift. early loss leads to vertical drift of the opposing primary tooth and to mesiodistal drift of the permanent molars and incisors; it rarely leads to buccolingual drift of permanent or primary teeth. mesial drift of the permanent molars is a well-recognized phenomenon. it is not well-recognized that (a) mesial or distal drift of primary teeth rarely occurs. if a first primary molar is lost prematurely space loss is unlikely (though possible). when space loss does occur in this circumstance, distal movement of the anterior segment is as likely as mesial movement of the posterior segment. an intact primary second molar or canine, in other words, is in itself a good space maintainer; (b) distal drift of permanent incisors is as much to be expected as mesial drift of molars. early loss of primary canines almost invariably leads to space loss by distal movement of the permanent incisors, not by mesial movement of the primary and permanent molars. equilibrium. only minor equilibrium effects are associated with early loss. forces generated in the periodontal lignament are not affected, but resting tongue and lip pressure may be. the tongue will tend to partially occupy a space in the dental arch and lip posture may be affected by early loss of primary incisors. an altered chewing pattern, to avoid the side where a tooth is missing, may result. there is little or no evidence, however, that these possible changes will influence tooth position significantly.","{'answer_start': [483], 'text': ['distal']}",,clinical,"{'authors': ['JAMES L. ACKERMAN, D.D.S.', 'WILLIAM R. PROFFIT, D.D.S., PH.D.'], 'doi': 'https://doi.org/10.1043/0003-3219(1980)050<0075:PAIOAS>2.0.CO;2', 'meta': 'Angle Orthod (1980) 50 (2): 75–86.', 'title': 'Preventive and Interceptive Orthodontics: A Strong Theory Proves Weak In Practice'}",96f2fd81-3edd-43e9-b16c-377ff29f1fcc
"regarding the estimation of growth status, the cervical vertebral maturation index (cmvi) stage v indicate?","the material for this retrospective study consisted of 46 pre- and posttreatment lateral cephalometric radiographs of 23 class ii patients (12 girls and 11 boys) ranging in age from 12 to 20 years (mean sd = 17.3 4.2 years). the radiographs were taken with planmeca promax 3d (planmeca oy, helsinki, finland) and obtained from the archives of yeditepe university dental school, department of orthodontics. ethics approval for the study was obtained from the yeditepe university ethics committee. all patients in the clinic's archive who presented with anb more than 4 , overjet more than 5 mm, angle class ii molar and canine relationships, no missing teeth, no history of nasal or pharyngeal obstruction or related surgical treatments, no significant residual growth potential evident on the cervical vertebral maturation index (cvmi stage 5 and cvmi stage 6, which correspond to post-peak growth period), and clinically normal vertical skeletal pattern (sn/mp angle in the 28 35 range), and who had received forsus treatment, were included. the patients had received class ii correction with a forsus frd. because patients selected were at the post-peak developmental stage, there was no control group designed to account for growth changes. lateral cephalometric radiographies were taken in a natural head posture at the start and end of frd appliance treatment when a class i or overcorrected class i canine and molar relationship was achieved; this occurred in a mean time of 5 months 13 days 1 month 4 days. skeletal and dental measurements were digitized using dolphin imagining 11.0 software (dolphin imaging and management solutions, chatsworth, calif), and the sagittal airway area was measured by autocad 2012 software (autocad, autodesk, inc, san rafael, calif). the customized cephalometric analysis, including measurements from the steiner, ricketts, and tweed analyses was used. cephalometric and anatomic landmarks and reference lines are shown at figure 1. the following landmarks were used: hy, most anterior point on the hyoid bone; v (vallecula), most profound point in the curvature of the depression just behind the root of the tongue between the folds in the throat; a, most anteroinferior point on corpus of c2 and c3; g, point on the nasal surface of the soft palate at the level of the maxillary plane (opposite point to h); h, point on the posterior pharyngeal wall at the same horizontal level as point g; e, point of intersection of the occlusal plane with the posterior pharyngeal wall; u1, incisal edge of the upper middle incisor; l1, incisal edge of the lower middle incisor. following are definitions of the reference lines used in the study: nsl, line passing through the sella and nasion points; rl 1, reference line 7 to nsl; rl 2, reference line perpendicular to nsl and intersecting the sella point; mp, mandibular plane, that is, the line tangent to the lower border of the body of the mandible through menton; pp, palatal plane, that is, the line connecting the anterior nasal spine and posterior nasal spine; op, anatomic occlusal plane.","{'answer_start': [881], 'text': ['post-peak growth period']}",,growth,"{'authors': ['Fulya Ozdemir', 'Feyza Ulkur', 'Didem Nalbantgil'], 'doi': 'https://doi.org/10.2319/042513-319.1', 'meta': 'Angle Orthod (2014) 84 (2): 260–264.', 'title': 'Effects of fixed functional therapy on tongue and hyoid positions and posterior airway'}",9bacf2d1-b15c-4592-bc6f-471cbc377a32
"during the initial leveling and alignement treatment phase, which characteristics are needed in initial wires?","having summarized the state of the art of archwires over the last 50 years, lets explore how they complement and supplement one another in everyday practice by applying the concepts of elastic property ratios. in this regard, some reference to the strength, stiffness, and range would be appropriate as a function of the different stages of treatment (figure 8). during the initial stage of treatment, where initial leveling and alignment are desired, great range and light forces are sought. by referencing elastic property ratios of strength, stiffness, and range, two principal types of wires are suggested: either a multistranded stainless steel wire or a nitinol-type wire. the former capitalizes on conventional variable cross-section orthodontics, which was tabulated many years ago in an orthodontic textbook by dr. raymond thurow. the latter makes use of variable modulus orthodontics in which three of the four principal alloys in use today have different stiffnesses for the same shape and size of archwire. as treatment progresses into the intermediate stage, beta-titanium alloys become advantageous as their formability, springback, range, and modest forces per unit deactivation become favorable. larger sizes of nitinol can still be useful here, however, if an 0.022 inch slot is employed. if sliding mechanics are required, undersized stainless steel wires may be used. as the orthodontic patient progresses to the final stage of treatment wherein more arch, stability and small tooth movements are required, wires having substantial stiffnesses but limited ranges are acceptable. consequently, large gauges of beta-titanium or stainless steel wires may be used to maintain arch form while making small rotational, translational, or tipping motions. exactly which alloy is used here depends on the details of the case that is, whether it is more important to have more range, as afforded by a beta-titanium wire, or more stiffness, as afforded by a stainless steel wire.","{'answer_start': [452], 'text': ['great range and light forces']}",,materials,"{'authors': ['Robert P. Kusy, PhD'], 'doi': 'https://doi.org/10.1043/0003-3219(1997)067<0197:AROCAT>2.3.CO;2', 'meta': 'Angle Orthod (1997) 67 (3): 197–207.', 'title': 'A review of contemporary archwires: Their properties and characteristics'}",a69caac6-bdce-4881-92a5-4fb7c9536ec2
"regarding the biomechanics of a base archwire, what should be done in order to have genuine intrusion of the anterior teeth and minimize extrusion of posterior teeth?","among other effects, the action of the base archwire is to extrude posterior teeth as well as to intrude the anteriors. the amount of relative extrusion or intrusion can be influenced by a number of factors. the lower the force delivered from the base archwire, the greater will be the anterior intrusion in comparison with posterior extrusion. furthermore, if genuine intrusion of the incisors is indicated, it is far better to limit the number of teeth in the anterior segment. for example, attempts to intrude all six anterior teeth as a unit are not as effective as the intrusion of two or four incisors alone. lastly, the vertical anchorage of the posterior teeth can be enhanced with the use of an occipital gear. activation of the base archwire produces moments that tend to steepen the plane of occlusion in the maxillary arch and to flatten it in the mandibular arch. since the steepening of the plane of occlusion of the maxillary arch is particularly undesirable in many cases, it is necessary to negate the moment produced from the base wire. this negation can be produced either by the use of a cervical gear with the outer bow high or an occipital gear with the force placed anterior to the center of resistance of the posterior segment.","{'answer_start': [429], 'text': ['limit the number of teeth in the anterior segment']}",,biomechanics,"{'authors': ['Charles J. Burstone, D.D.S., M.S.'], 'doi': 'https://doi.org/10.1043/0003-3219(1966)036<0099:TMOTSA>2.0.CO;2', 'meta': 'Angle Orthod (1966) 36 (2): 99–120.', 'title': 'The Mechanics Of The Segmented Arch Techniques'}",e3e20cd2-29f7-4167-b42a-78cf66f43328
"with the exception of material, hardness, state of heat treatment, size, and cross-sectional shape, which other factors affect wire stiffness?","in order to optimize the biological environment for tooth movement and minimize patient discomfort, treatment of tooth disrepancies in the initial malocclusion requires wires of low stiffness to produce gentle forces as he teeth are leveled and aligned. biomechanial considerations require that archwire stiffness be an important criterion, upon which rests the rlationship between orthodontic force and deflection within the elastic working range. burstone stated that the major reason the orthodontist should select a particular wire size is its stiffness or load-deflection rate. stiffness is directly related to cross-sectional size and shape. however, with the introduction of titanium-based alloys and multistrand wires, stiffness can reduced without reducing cross-sectional size or shape. obrien defined stiffness as the slope of the straight line in a bending plot or the amount of force required per unit of activation. some factors that affect wire stiffness include wire material, hardness, state of heat treatment, size, and cross-sectional shape. wire stiffness is also affected by bracket width, interbracket distance, length of wire, and the incorporation of loops. studies of nickel-titanium alloy wires have demonstrated a linear loading and unloading characteristic for some single-phase nickel-titanium alloys. however, newer alloys have been shown to demonstrate nonlinear loading and unloading behaviors with relatively constant force levels throughout their midregions of deactivation. hence, it is impossible to obtain a single value for stiffness or slope of the bending plot for these nonlinear wires. quantifying the magnitude of orthodontic forces at varying deflections is not only necessary for these newer titanium alloys but for the recently introduced multistrand nickel-titanium wires as well.","{'answer_start': [1096], 'text': ['bracket width, interbracket distance, length of wire, and the incorporation of loops']}",,materials,"{'authors': ['Jay M. Oltjen, DDS, MS', 'Manville G. Duncanson, Jr., DDS, PhD', 'Joydeep Ghosh, DDS, MS', 'Ram S. Nanda, DDS, MS', 'G. Frans Currier, DDS, MSD, M.Ed'], 'doi': 'https://doi.org/10.1043/0003-3219(1997)067<0209:SDBOSO>2.3.CO;2', 'meta': 'Angle Orthod (1997) 67 (3): 209–218.', 'title': 'Stiffness-deflection behavior of selected orthodontic wires'}",eb36e385-6123-44c6-b5a1-3519b7f3e8aa
"regarding the bonding of orthodontic brackets to ceramic (porcelain), what is required in terms of surface preparation?","when bonding orthodontic brackets to porcelain surfaces, it is necessary to change the inert characteristics of the surface to achieve clinically acceptable bond strength. this alteration is accomplished by either increasing the roughness of the porcelain surface mechanically eg, by either microetching or the use of strong etchants such as hydrofluoric acid (or both), together with a silane coupling agent. such procedures cause irreversible alteration to the glazed porcelain surface. andreasen and stieg found that fracture of the porcelain itself was experienced during both tensile and shear testing when the silane coupling agents were used to increase the bond strength of orthodontic adhesives. the majority of these fractures were found in the shear sample group. newman also reported that the strength of the bond between the resin and porcelain, attained with the use of a silane coupler, was sufficient to cause the fracture of porcelain. such an occurrence is undesirable when associated with the removal of orthodontic brackets from porcelain crowns on restored teeth. therefore, newman suggested that when debonding orthodontic brackets from a porcelain surface, a ligature cutter be applied on the mesial and distal aspects of the bracket base and then twisted gently. another approach used for bracket removal is by squeezing the mesial and distal bracket tie wings together, thus distorting the bracket. the residual composite can then be removed with a scaler or a slow speed finishing bur or both. the present findings indicated that the weakest shear bond strengths were obtained when using phosphoric acid etch alone with the composite adhesive. much stronger and consistent shear bond strength was obtained when the porcelain surface was microetched followed by the use of porc-etch and porcelain conditioner, containing hydrofluoric acid and a silane coupling agent, before bonding the brackets. the new clearfil repair self-etch primer/silane/adhesive combination had comparable mean shear bond strength (table 1). on the other hand, the frequency distribution indicated a slightly higher frequency of shear bond strength values of <4.0 mpa with clearfil repair when compared with porc-etch and porcelain conditioner, ie, having a slightly less consistent behavior (table 2).","{'answer_start': [214], 'text': ['increasing the roughness of the porcelain surface mechanically']}",,materials,"{'authors': ['Raed Ajlouni', 'Samir E. Bishara', 'Charuphan Oonsombat', 'Manal Soliman', 'John Laffoon'], 'doi': 'https://doi.org/10.1043/0003-3219(2005)75[858:TEOPSC]2.0.CO;2', 'meta': 'Angle Orthod (2005) 75 (5): 858–864.', 'title': 'The Effect of Porcelain Surface Conditioning on Bonding Orthodontic Brackets'}",cdc558b1-16bd-426a-8e6b-d5d030f4a147
at what age do the first molars emerge?,"the primary treatment procedure for an impacted tooth is orthodontic traction after surgical exposure of the tooth crown. there are several approaches for the treatment of impacted molars. orthodontic appliances may be available without surgery for partially impacted teeth. a combination of surgical and orthodontic treatment will be selected for severe impactions. although surgical transplanting may be another selection, surgical transplanting or repositioning of teeth generally has a high risk of complications, such as pulp necrosis, ankylosis, and root resorption. if the molars are deeply impacted in the mandible, similar to this patient, inferior alveolar nerve damage by surgery is also possible. based on these considerations, we selected orthodontic extrusion assisted by surgical access to the impacted teeth using a lingual arch for the lower dentition. the lower primary second molars were used effectively as anchors for extrusion of the impacted first molars. however, if the lower primary second molars are not available, implant-anchors are available alternatively as an effective anchorage. there are actually some failures of traction due to ankylosis and external root resorption. furthermore, even the successful cases probably end with an irregular root formation and/or an unesthetic gingival margin of the tooth after orthodontic treatment. in daily clinical practice, the following factors are used to determine whether an impacted tooth can be successfully aligned in proper position: the position and direction of the impacted tooth, the amount of root formation, and the degree of root dilacerations. furthermore, an impacted tooth is likely to have a dilacerated root, which becomes worse with time. for the management of developing dentition, the ability and trained skill to predict tooth eruption accurately is of great importance. this ability will make it possible to answer such questions as to whether a treatment should be conducted for helping proper eruption of the teeth and when a particular therapy should be instituted for the best treatment outcomes. by nolla's mean stage of tooth development, the maxillary and mandibular first molars emerge in the mouth at 6 or 7 years of age when two-thirds of their roots are complete; their roots are completed at 12 to 13 years of age. therefore, the tooth, if impacted, is likely to have a dilacerated root which becomes more severe with a lapse of time. thus, earlier treatment of impacted teeth is recommended. in the present patient, at 9 to 10 years of age, the traction of lower and upper first molars was initiated, and the traction succeeded at age 12 years 9 months, which just matched the time of the root completion. as the result, the first molars showed no pathological findings in their root development. if the spontaneous eruption of the impacted tooth was not expected, the early treatment including impacted tooth traction was highly anticipated.","{'answer_start': [2143], 'text': ['the maxillary and mandibular first molars emerge in the mouth at 6 or 7 years of age']}",,growth,"{'authors': ['Eiji Tanaka', 'Aki Kawazoe', 'Saika Nakamura', 'Goshi Ito', 'Naoto Hirose', 'Yuki Tanne', 'Nobuhiko Kawai', 'Kotaro Tanimoto', 'Kazuo Tanne'], 'doi': 'https://doi.org/10.2319/121007-581.1', 'meta': 'Angle Orthod (2008) 78 (6): 1110–1118.', 'title': 'An Adolescent Patient with Multiple Impacted Teeth'}",e02f5bba-ff70-4cc3-9df4-5f749f44a2bf
